songID,chromaC_mean,chromaC#_mean,chromaD_mean,chromaD#_mean,chromaE_mean,chromaF_mean,chromaF#_mean,chromaG_mean,chromaG#_mean,chromaA_mean,chromaA#_mean,chromaB_mean,chromaC_std,chromaC#_std,chromaD_std,chromaD#_std,chromaE_std,chromaF_std,chromaF#_std,chromaG_std,chromaG#_std,chromaA_std,chromaA#_std,chromaB_std,chromaC_var,chromaC#_var,chromaD_var,chromaD#_var,chromaE_var,chromaF_var,chromaF#_var,chromaG_var,chromaG#_var,chromaA_var,chromaA#_var,chromaB_var,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,rms_mean,rms_std,rms_var,zcr_mean,zcr_std,zcr_var,tempo,centroid_mean,centroid_std,centroid_var,bandwidth_mean,bandwidth_std,bandwidth_var,flatness_mean,flatness_std,flatness_var,rolloff_mean,rolloff_std,rolloff_var,tonnetz0_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz0_std,tonnetz1_std,tonnetz2_std,tonnetz3_std,tonnetz4_std,tonnetz5_std,tonnetz0_var,tonnetz1_var,tonnetz2_var,tonnetz3_var,tonnetz4_var,tonnetz5_var,tgr0_mean,tgr1_mean,tgr2_mean,tgr3_mean,tgr4_mean,tgr5_mean,tgr6_mean,tgr7_mean,tgr8_mean,tgr9_mean,tgr10_mean,tgr11_mean,tgr12_mean,tgr0_std,tgr1_std,tgr2_std,tgr3_std,tgr4_std,tgr5_std,tgr6_std,tgr7_std,tgr8_std,tgr9_std,tgr10_std,tgr11_std,tgr12_std,tgr0_var,tgr1_var,tgr2_var,tgr3_var,tgr4_var,tgr5_var,tgr6_var,tgr7_var,tgr8_var,tgr9_var,tgr10_var,tgr11_var,tgr12_var,logattacktime,attackstart,attackstop,loudness,danceability,predominantpitch_mean,predominantpitch_std,predominantpitch_var,pitchsalience_mean,pitchsalience_std,pitchsalience_var,complexity_mean,complexity_std,complexity_var,flux_mean,flux_std,flux_var,inharmonicity_mean,inharmonicity_std,inharmonicity_var,tristimulus1_mean,tristimulus2_mean,tristimulus3_mean,tristimulus1_std,tristimulus2_std,tristimulus3_std,tristimulus1_var,tristimulus2_var,tristimulus3_var,oddevenratio_mean,oddevenratio_std,oddevenratio_var,AMBMenergyratio,key,scale,strength,tuningfrequency,sentiment
MT0000040632,0.335063696,0.439152509,0.313180268,0.367690861,0.334851861,0.257922769,0.423398703,0.382265806,0.520296395,0.435778618,0.330466896,0.404979765,0.230670258,0.344137877,0.216603801,0.300016403,0.265931249,0.209555164,0.349021941,0.248234093,0.324727952,0.286788136,0.234704301,0.311185032,0.053208768,0.118430883,0.046917208,0.090009838,0.070719428,0.043913368,0.121816322,0.061620165,0.105448246,0.082247436,0.055086106,0.096836127,-86.82987213,93.41737366,22.56621742,26.89480019,11.65727425,16.3398819,6.807980061,4.366972446,-4.114508152,-0.951921761,-8.613844872,-4.164156914,-5.704393864,81.44326782,22.56892776,12.39193153,8.499404907,9.317929268,7.69432354,7.081905365,7.009331703,6.885543823,7.091063499,6.816032887,7.777725697,7.220638275,6633.006348,509.3564758,153.559967,72.23987579,86.82380676,59.20261383,50.15338516,49.13072968,47.41071701,50.28318024,46.45830536,60.49301529,52.13761902,0.203659475,0.074519396,0.005553141,0.068543753,0.031864468,0.001015344,99.38401442,2146.974258,646.8389229,418400.5922,2686.361366,419.9546018,176361.8676,0.011360677,0.014306359,0.000204672,5214.269294,1686.98622,2845922.505,-0.055908719,-0.219840223,-0.018941138,-0.023250131,0.028331032,-0.003926645,0.127312857,0.107561264,0.196444312,0.156313902,0.072181998,0.082356396,0.016208564,0.011569425,0.038590368,0.024434036,0.005210241,0.006782576,0.63078667,0.3986726,0.464470483,0.56367608,0.597454312,0.495278548,0.7301903,0.516237811,0.423368024,0.615163789,0.479478746,0.40783447,0.386419043,0.117077585,0.18236145,0.170946152,0.189180035,0.092948526,0.130133849,0.036504129,0.14271838,0.152312824,0.071062783,0.083695129,0.096303228,0.086207771,0.013707161,0.033255699,0.029222587,0.035789086,0.008639428,0.016934819,0.001332551,0.020368536,0.023199196,0.005049919,0.007004875,0.009274312,0.00743178,0.498351216,0.859773219,4.01006794,1024.539307,1.297384858,162.9137421,164.4574738,27046.26172,0.526802063,0.098836243,0.009768602,25.84027863,10.36672974,107.4690857,0.134233803,0.075778723,0.005742415,0.096957445,0.09924075,0.009848726,0.294357479,0.399200857,0.306441903,0.197963074,0.151615456,0.148754835,0.03918938,0.022987247,0.022128003,2.114485979,11.18466473,125.0967178,1.390356541,5,-1,0.842286289,441.2156067,0
MT0000249842,0.361040056,0.242811278,0.339131951,0.415980518,0.291576266,0.305549413,0.287257701,0.399514019,0.436740756,0.425238073,0.588142097,0.438988745,0.305708379,0.218037203,0.260999739,0.316065818,0.230460048,0.283107162,0.215961471,0.31571123,0.34147507,0.256739348,0.357026786,0.282171071,0.093457617,0.047540225,0.068120867,0.099897608,0.053111833,0.080149673,0.046639357,0.099673577,0.116605215,0.065915085,0.127468124,0.07962051,-22.32914543,74.45084381,5.178576469,20.89511681,12.15956402,8.181494713,6.389454842,4.963947296,-3.631303549,-1.267026544,-4.604588509,0.229643196,-3.903723478,80.21757507,25.84199524,17.36170769,11.54544544,10.57278538,11.11881733,8.969851494,7.428133965,7.270461082,6.759301186,6.945399761,8.017567635,6.637639046,6434.858887,667.8087158,301.4289246,133.2973175,111.783783,123.6280899,80.45822906,55.17717361,52.85960388,45.68815231,48.23857498,64.28139496,44.05825424,0.270667881,0.092393249,0.008536512,0.100626659,0.061955581,0.003838494,161.4990234,2716.585579,826.5625796,683205.698,2831.051403,372.7756943,138961.7182,0.035280369,0.041953456,0.001760092,6040.595571,1682.429886,2830570.322,-0.122713699,0.072073445,0.112571353,-0.042227495,-7.17E-05,-0.008804791,0.116881152,0.143712717,0.132634778,0.209116747,0.073296538,0.063485025,0.013661204,0.020653345,0.017591984,0.043729814,0.005372383,0.004030348,0.507293551,0.517570881,0.518671687,0.707243305,0.507612576,0.529480177,0.805490611,0.65524564,0.513170654,0.768181408,0.646740192,0.450120963,0.57632736,0.175639814,0.172951048,0.216119708,0.062099105,0.165829957,0.219416871,0.040278017,0.058003732,0.203392748,0.071077475,0.087093751,0.178583355,0.143666828,0.030849344,0.029912065,0.046707728,0.003856299,0.027499575,0.048143763,0.001622319,0.003364433,0.04136861,0.005052007,0.007585321,0.031892015,0.020640157,0.501068592,0.98553288,4.155601025,1483.046143,1.196192503,101.6447296,110.9792862,12316.40137,0.522009134,0.11703568,0.01369735,38.7044754,14.62609673,213.922699,0.212387279,0.114884682,0.01319849,0.068194859,0.08429642,0.007105887,0.306323975,0.332978994,0.360696554,0.193279088,0.132541493,0.150626317,0.037356805,0.017567247,0.022688286,1.649175763,4.18678093,17.52913475,0.206234872,7,1,0.909249306,444.7113342,0
MT0000540286,0.205712184,0.186570853,0.284147024,0.233099058,0.235224172,0.151323974,0.289440006,0.401462525,0.206491575,0.22723195,0.188960344,0.356909543,0.268056631,0.248658329,0.313355029,0.269337982,0.317932099,0.185822979,0.294838876,0.386406779,0.225531697,0.305770785,0.224535957,0.379374951,0.071854353,0.061830964,0.098191381,0.072542943,0.101080827,0.034530181,0.086929955,0.149310201,0.050864544,0.093495771,0.050416395,0.143925354,-268.7159424,150.7279663,-52.62852478,17.99550247,5.639455318,-21.35287094,-6.409025192,-3.930280924,-3.196913004,-5.916235924,-1.049195051,-6.428242683,-7.599685669,95.36455536,40.1875267,40.70687485,24.25207138,17.70256996,13.57635403,12.80573177,15.68054008,17.31760216,19.94018936,14.68599033,14.03946209,15.63658047,9094.398438,1615.037231,1657.049561,588.1629639,313.3809814,184.3173981,163.9867706,245.8793488,299.8993225,397.6111755,215.678299,197.1065063,244.502655,0.081887111,0.055192556,0.003046218,0.099680261,0.039801128,0.00158413,103.359375,1374.381584,425.7958523,181302.1079,953.234173,215.5516517,46462.51456,0.000230453,0.007353941,5.41E-05,2373.740498,680.5698381,463175.3046,-0.048623409,0.080663026,0.091946356,0.128608246,-0.011340451,-0.00464261,0.143283325,0.130119025,0.187132196,0.207428683,0.080346737,0.071697374,0.020530111,0.016930961,0.035018459,0.043026659,0.006455598,0.005140513,0.477808287,0.494622873,0.480011062,0.64386845,0.507220269,0.515356228,0.65656439,0.552168109,0.479719821,0.540080437,0.453837772,0.427393943,0.37222541,0.097200427,0.09650002,0.096161047,0.089207243,0.098283,0.104116658,0.053008961,0.058246326,0.078933673,0.068005893,0.0540688,0.079082945,0.058707891,0.009447923,0.009312254,0.009246947,0.007957932,0.009659548,0.010840278,0.00280995,0.003392634,0.006230525,0.004624801,0.002923435,0.006254112,0.003446616,0.380482018,2.084172249,4.485669136,357.1937866,1.082793474,258.5437927,298.3123779,88990.27344,0.558131397,0.13620913,0.018552927,13.13811684,11.22786903,126.065033,0.072698854,0.052837748,0.002791828,0.059923526,0.093799591,0.008798363,0.302744716,0.471233696,0.226020947,0.256087273,0.198887527,0.251940072,0.065580696,0.039556246,0.063473798,5.70111084,51.48444748,2650.648193,0.338053942,4,-1,0.55500567,452.1022339,0
MT0000664362,0.406171471,0.381565928,0.439997643,0.437228203,0.419962078,0.485040784,0.498595774,0.495578319,0.39391458,0.356220603,0.369590819,0.382602125,0.355395138,0.280208945,0.313281178,0.318346381,0.263750017,0.315710783,0.300109088,0.350179493,0.275070518,0.291573405,0.301205933,0.324964345,0.126305714,0.07851705,0.098145097,0.101344422,0.069564074,0.099673294,0.090065457,0.122625671,0.07566379,0.085015051,0.09072502,0.105601825,-287.9883728,110.0946655,32.45368195,37.90569687,15.13365746,20.24601555,8.548303604,13.42730331,4.345268726,6.360700607,2.806825161,5.154411316,2.013247728,111.8240967,32.58653259,25.95199203,12.07462025,9.411678314,8.097493172,8.355329514,6.873213291,6.908863068,5.698493481,5.431222439,5.325531006,5.649329662,12504.62891,1061.88208,673.5058594,145.796463,88.57969666,65.56939697,69.81153107,47.24105835,47.73239136,32.47282791,29.49817467,28.36128044,31.91492462,0.077612914,0.04228105,0.001787687,0.030559242,0.025348143,0.000642528,151.9990809,1312.427981,760.3090811,578069.8988,2033.264295,706.9782804,499818.289,0.004022554,0.008879167,7.88E-05,2953.77349,2249.031111,5058140.937,0.031933181,0.030709563,0.048797876,-0.035249898,-0.014834051,0.016640499,0.11564436,0.113840082,0.144934486,0.148672096,0.057772182,0.05970411,0.013373618,0.012959564,0.021006005,0.022103392,0.003337625,0.003564581,0.16956877,0.261611276,0.246673233,0.254422494,0.204121309,0.262124005,0.568944036,0.231586685,0.258757034,0.526150208,0.393575791,0.200522209,0.374176917,0.062713969,0.086739221,0.053874814,0.170833993,0.090144745,0.052353535,0.095893972,0.145223047,0.041790137,0.095962684,0.074836557,0.067187579,0.141713721,0.003933042,0.007523692,0.002902496,0.029184253,0.008126075,0.002740893,0.009195654,0.021089733,0.001746416,0.009208837,0.00560051,0.004514171,0.020082779,0.668538034,1.279319763,5.940952301,307.8842468,1.240114093,54.80464554,83.20503998,6923.078613,0.41542989,0.161327034,0.026026413,7.395833492,7.507092476,56.35643387,0.054780617,0.042990785,0.001848208,0.035063162,0.052088726,0.002713235,0.510728419,0.293946594,0.195324808,0.220464051,0.160156012,0.15494661,0.048604399,0.02564995,0.024008451,0.939570308,7.891485691,62.27554703,2.103402376,11,-1,0.816969872,437.6989746,0
MT0000414517,0.443677694,0.541899204,0.38325882,0.359828472,0.309938341,0.264106721,0.434408307,0.330004036,0.390499711,0.390756637,0.332724541,0.397308379,0.292091042,0.352208048,0.29306972,0.305149049,0.280009508,0.223567486,0.347126096,0.242385924,0.315641791,0.302945286,0.288470268,0.332223028,0.08531718,0.124050513,0.085889861,0.093115933,0.078405328,0.049982421,0.120496526,0.058750935,0.099629745,0.091775842,0.083215088,0.110372148,-109.7269287,101.8468399,21.62160873,25.68316269,9.536927223,11.1015749,-0.336261809,0.453144044,-5.002783298,-5.121665955,-4.620295048,2.214122534,-0.822256863,114.5963745,28.03538513,11.78145885,12.34669685,10.45717716,7.560590744,8.383702278,7.533988953,8.478268623,7.554466248,9.214304924,6.69323349,8.166475296,13132.3291,785.9828491,138.8027649,152.440918,109.3525543,57.16252899,70.28646088,56.76098633,71.88103485,57.06995773,84.90341187,44.79937744,66.6913147,0.176002383,0.085218035,0.007262113,0.062236818,0.029530569,0.000872054,143.5546875,1930.075805,647.2475738,418929.4217,2507.486837,531.3978722,282383.6986,0.012463211,0.015701542,0.000246538,4592.616528,1691.133488,2859932.474,-0.063348705,-0.083003022,-0.075180833,0.019315524,0.011493403,0.012418865,0.069849696,0.076218621,0.101802194,0.15034384,0.045059962,0.048283346,0.00487898,0.005809278,0.010363687,0.02260327,0.0020304,0.002331282,0.456673175,0.416551979,0.503684046,0.376731357,0.460824393,0.493978372,0.644134082,0.340871606,0.474065547,0.532830697,0.428081238,0.503821044,0.352266835,0.138131877,0.161680832,0.201898206,0.208396009,0.1425995,0.178682792,0.142083771,0.169602147,0.206123381,0.107020295,0.121001793,0.176735629,0.117874156,0.019080416,0.026140692,0.040762886,0.043428897,0.020334617,0.03192754,0.020187798,0.028764888,0.042486848,0.011453343,0.014641434,0.031235483,0.013894317,0.628488541,1.718503356,5.969478607,891.9187622,1.047713876,147.2677612,128.443161,16497.64453,0.580033302,0.141136244,0.01991944,25.64737701,13.80267239,190.5137634,0.147456512,0.095877208,0.009192439,0.117278606,0.163471639,0.026722975,0.259746343,0.44198963,0.278202206,0.219151795,0.190631643,0.175456256,0.048027508,0.036340423,0.030784896,2.457239866,14.05645847,197.5840302,0.647422135,4,-1,0.36884138,452.716156,0
MT0000392975,0.382464647,0.287132472,0.480998218,0.317043573,0.268094271,0.319077939,0.338263243,0.49200958,0.345633894,0.347965866,0.303653568,0.279087365,0.336537123,0.215849847,0.342160076,0.251231879,0.234903872,0.281522155,0.228643253,0.355412066,0.272302806,0.270902365,0.272405565,0.213030308,0.113257237,0.046591159,0.117073521,0.063117452,0.055179827,0.079254724,0.052277736,0.126317739,0.074148819,0.0733881,0.074204788,0.045381911,-148.6941833,106.5628357,-13.99914455,18.47673988,1.408951521,8.440828323,-8.175439835,-2.487992525,-6.877563953,0.67944932,-5.084037304,2.921414614,-2.907546282,78.69168854,40.907341,24.92067528,13.13375092,10.83568764,7.782540798,8.217798233,7.878118038,7.24009037,7.820463181,8.948287964,8.594658852,8.127539635,6192.382324,1673.4104,621.0400391,172.4954071,117.4121246,60.56793976,67.53220367,62.06474304,52.41890717,61.15964508,80.07186127,73.86815643,66.05690002,0.090268224,0.040692467,0.001655877,0.095915028,0.041299692,0.001705665,95.703125,2101.464878,759.2225857,576418.9346,2182.645212,644.9571846,415969.77,0.012000238,0.016231062,0.000263447,4380.161133,1959.129362,3838187.857,0.061669815,0.059811215,-0.004911538,0.029034753,-0.012505306,-0.003243778,0.148430855,0.12512816,0.171951844,0.146077957,0.066249309,0.061962669,0.022031719,0.015657057,0.029567437,0.02133877,0.004388971,0.003839372,0.506324549,0.542138039,0.536019442,0.534707498,0.523137885,0.543533573,0.667822607,0.524340238,0.527259809,0.549852504,0.477543053,0.470560115,0.38959165,0.081202373,0.078278955,0.082860509,0.068324552,0.073783308,0.087911195,0.092313358,0.083897089,0.07583946,0.113652928,0.091289523,0.073347513,0.097930715,0.006593825,0.006127595,0.006865864,0.004668244,0.005443977,0.007728378,0.008521756,0.007038722,0.005751624,0.012916988,0.008333777,0.005379858,0.009590425,1.150588751,1.231836677,15.37637234,358.4046326,1.240537047,229.4056549,223.4955292,49950.25,0.586670935,0.115583986,0.013359658,20.03549385,10.05058002,101.0141678,0.066421144,0.037752394,0.001425243,0.109451108,0.098081551,0.009619991,0.180172652,0.374483764,0.445343912,0.130253062,0.173721269,0.212690026,0.016965859,0.03017908,0.045237049,2.988055229,17.07038307,291.3980103,0.120291278,11,-1,0.818328619,440.2612915,0
MT0001418045,0.387160242,0.426827282,0.421412438,0.581962645,0.371828794,0.358366281,0.368181497,0.401013196,0.45628491,0.43241632,0.504477739,0.378321409,0.274079949,0.280344844,0.253670305,0.339651734,0.213887841,0.282762229,0.268342495,0.286469042,0.308098465,0.277512163,0.306562752,0.254483193,0.075119823,0.078593224,0.064348631,0.115363292,0.045748007,0.079954475,0.072007701,0.082064509,0.094924666,0.077012993,0.09398073,0.064761698,-117.8460922,89.00930023,-15.38274574,33.76758575,3.865786314,9.758081436,0.285038501,1.350046158,4.702915192,3.764647007,-2.934761524,6.573683262,-7.510798931,53.17181778,15.4943018,17.30732346,11.62622643,8.955973625,8.55591011,7.134372234,5.493149281,6.468662262,6.331535339,5.794373989,6.629763603,7.123885632,2827.242188,240.0733795,299.543457,135.1691437,80.2094574,73.20359802,50.89926529,30.17469025,41.8435936,40.08833694,33.57477188,43.95376587,50.74974823,0.08528088,0.019064661,0.000363461,0.109808986,0.036233869,0.001312893,112.3471467,2257.636773,297.0282178,88225.76215,2331.687667,232.7260196,54161.40019,0.013604717,0.010170884,0.000103447,4616.976483,620.4636653,384975.1599,-0.102701999,0.025402834,0.017104629,-0.080409184,0.004266772,0.016903478,0.078838334,0.079989611,0.113607258,0.112253206,0.048915256,0.049111355,0.006215483,0.006398338,0.012906609,0.012600782,0.002392702,0.002411925,0.590118577,0.610715382,0.636003132,0.507713781,0.602364944,0.689591995,0.73558429,0.494532923,0.626431137,0.65842532,0.526772791,0.569040773,0.445242187,0.060725847,0.083647637,0.082812248,0.079020563,0.062985838,0.076613548,0.082632006,0.070750589,0.081869302,0.096772677,0.090427693,0.096386485,0.082681899,0.003687628,0.006996927,0.006857868,0.006244249,0.003967216,0.005869636,0.006828048,0.005005646,0.006702583,0.009364951,0.008177168,0.009290354,0.006836296,0.239325017,0.177551016,1.912653089,303.240448,1.610272288,299.478363,235.1287079,55285.50781,0.546725035,0.104716815,0.010965611,23.0709877,10.80285835,116.7017517,0.068343826,0.022380723,0.000500897,0.106697656,0.088877819,0.007899267,0.235946238,0.304893553,0.459160119,0.134034246,0.140116408,0.159243733,0.017965181,0.019632608,0.025358565,1.848850965,6.219024181,38.6762619,0.337905973,7,-1,0.843188584,435.7146912,0
MT0001340713,0.406513333,0.356532633,0.410624325,0.347009212,0.322201908,0.238576666,0.397203118,0.450087994,0.404174179,0.448524654,0.329409957,0.396244228,0.316151679,0.273108393,0.328712821,0.265427321,0.284064233,0.211822376,0.301933765,0.326764822,0.28697902,0.337395161,0.258260012,0.310599744,0.099951893,0.074588194,0.10805212,0.070451662,0.080692492,0.044868719,0.091164,0.106775254,0.082356952,0.113835491,0.066698231,0.096472196,-127.4704056,58.62627792,-5.576115131,13.13510513,-4.154709816,7.428956032,-4.735509872,0.809856236,-7.285750389,4.076312542,-6.84788847,-1.491288662,-6.759284496,86.6886673,24.77372932,21.64235497,15.69002533,14.81084156,10.75503635,11.65727139,10.10279465,9.787863731,9.386875153,8.798474312,8.143956184,9.081040382,7514.925293,613.7376709,468.39151,246.1768799,219.3610229,115.6707993,135.8919678,102.0664597,95.80228424,88.11341858,77.4131546,66.32402039,82.46529388,0.084638327,0.040913712,0.001673932,0.164342272,0.101705493,0.010344007,95.703125,3131.486997,924.3752271,854469.5605,2726.064416,294.871268,86949.06467,0.046698671,0.050266072,0.002526678,6339.050755,1265.996667,1602747.561,0.160356847,0.04630556,0.083698156,-0.025492997,-0.002909439,0.006031842,0.099512292,0.129512089,0.187350793,0.193339378,0.075951015,0.077176598,0.009902696,0.016773381,0.03510032,0.037380115,0.005768557,0.005956227,0.541227573,0.44100439,0.470917201,0.592510953,0.580266808,0.474462225,0.708803465,0.529073568,0.471710143,0.606274313,0.488327888,0.36050587,0.378776884,0.101954643,0.103746505,0.108104855,0.14903801,0.067847045,0.135839521,0.045682123,0.109950511,0.115242761,0.042550099,0.057340745,0.11147163,0.060126647,0.010394749,0.010763337,0.01168666,0.022212328,0.004603222,0.018452375,0.002086856,0.012089115,0.013280894,0.001810511,0.003287961,0.012425924,0.003615214,0.737776637,1.542448997,7.009796143,333.8877869,1.344339013,229.7729797,238.7533569,57003.16406,0.577190042,0.129965842,0.01689112,17.65817833,11.16672039,124.6956482,0.082082301,0.04906236,0.002407115,0.095881991,0.161835968,0.026190881,0.217104599,0.396912038,0.362063587,0.183332101,0.19247368,0.187121511,0.033610661,0.03704612,0.035014462,3.947961092,35.12477112,1233.749512,1.807009935,11,1,0.920714974,440.6819153,0
MT0001189913,0.428541034,0.345202506,0.378786355,0.279373974,0.272532135,0.406703979,0.323452473,0.329226673,0.31309396,0.373887777,0.270047992,0.222156674,0.374520957,0.283195138,0.352467626,0.257614136,0.255480826,0.360623747,0.268964648,0.316470236,0.290422142,0.326234847,0.258105427,0.223906785,0.140265957,0.08019948,0.124233432,0.066365048,0.065270454,0.130049497,0.072341979,0.100153401,0.08434502,0.106429182,0.066618405,0.050134249,-157.7405548,91.93513489,-3.127106905,17.62284088,6.334713459,11.44623661,-3.522759199,2.356319666,-8.532465935,5.199686527,-8.183547974,3.372494221,-3.889383078,65.26712036,25.80002403,20.21967888,16.43815994,14.23274994,12.86178303,9.596907616,9.435183525,10.84758568,10.56982327,11.27917576,9.705253601,7.766216278,4259.796875,665.6412354,408.8353882,270.2131042,202.5711823,165.4254608,92.10063934,89.02268219,117.670105,111.7211609,127.2198105,94.19194794,60.31411743,0.078962937,0.035102896,0.001232213,0.097213215,0.055594484,0.003090747,95.703125,2281.858382,671.647352,451110.1654,2478.842368,403.6682209,162948.0326,0.019438433,0.033555351,0.001125962,4974.136666,1565.48902,2450755.872,0.073817169,0.135098667,-0.09499144,0.010171971,-0.023129609,-0.002987464,0.119082851,0.106900174,0.161995224,0.171728566,0.055448963,0.063831524,0.014180725,0.011427647,0.026242453,0.0294907,0.003074588,0.004074463,0.459165472,0.524942387,0.497021898,0.665272345,0.479672824,0.526768956,0.694442568,0.602108914,0.467474831,0.612526909,0.495871644,0.427523289,0.370608249,0.07658663,0.090566244,0.081068444,0.125960035,0.077905607,0.085890173,0.050525618,0.118405253,0.082666192,0.074051319,0.070991523,0.075506681,0.066579699,0.005865512,0.008202245,0.006572093,0.015865931,0.006069284,0.007377122,0.002552838,0.014019804,0.006833699,0.005483598,0.005039796,0.005701259,0.004432856,1.391666293,0.274195015,24.9156456,298.6827393,1.245597482,219.3709259,177.2668915,31423.55273,0.542905152,0.118259355,0.013985274,15.54783916,8.835910797,78.07332611,0.062862583,0.031972133,0.001022217,0.075879462,0.090461589,0.008183299,0.230224803,0.428948522,0.340826362,0.189657196,0.170804232,0.16275464,0.035969853,0.029174084,0.026489072,3.243700504,18.58306885,345.3304749,0.601270497,9,1,0.885127485,441.0360718,0
MT0001053268,0.421900094,0.379840761,0.451422274,0.413926363,0.450137019,0.448968887,0.331542909,0.38345927,0.306375086,0.411172479,0.297799528,0.320483118,0.311317205,0.281191289,0.304598808,0.303808361,0.310895354,0.324025929,0.247860417,0.301558495,0.23066023,0.337209791,0.248601615,0.270541579,0.096918412,0.079068549,0.092780434,0.092299514,0.096655913,0.104992799,0.061434787,0.090937518,0.053204142,0.113710433,0.06180276,0.073192753,-112.6111374,95.03265381,-18.94818115,32.88912582,-18.06533813,12.69239616,-8.141027451,5.344473362,-13.44237804,12.83227253,-13.16924572,8.77449894,-6.042775631,42.60390091,22.75561142,18.36863899,12.25490665,11.45389271,9.752601624,9.427048683,8.088713646,8.389316559,7.872348309,10.2760725,7.950428963,7.756921291,1815.092407,517.8178101,337.4068909,150.1827393,131.1916504,95.1132431,88.86925507,65.42728424,70.38063049,61.97386932,105.5976715,63.20932388,60.16982651,0.089141302,0.034495749,0.001189957,0.126783698,0.049203761,0.00242101,112.3471467,2353.173947,519.0247039,269386.6433,2243.449986,314.5222991,98924.27662,0.013993921,0.020813625,0.000433207,4808.286046,1037.04539,1075463.142,0.052572063,0.067597221,0.062525411,0.00956317,0.01355961,0.014556391,0.079981792,0.090610896,0.115193753,0.099121206,0.046873024,0.038518352,0.006397087,0.008210334,0.013269601,0.009825013,0.00219708,0.001483663,0.583926554,0.644009569,0.658917972,0.620390196,0.586523622,0.693435804,0.76745823,0.592458076,0.663658091,0.703062987,0.577978612,0.587028277,0.506284835,0.077479112,0.082592512,0.104729475,0.093709513,0.087051377,0.121558449,0.062556858,0.09846131,0.111882741,0.08746552,0.104165463,0.089463239,0.127618847,0.006003013,0.006821523,0.010968263,0.008781473,0.007577942,0.014776457,0.003913361,0.00969463,0.012517748,0.007650217,0.010850444,0.008003671,0.01628657,1.014960289,0.377188206,10.72766399,341.8059387,1.306610703,298.8485718,233.738327,54633.60547,0.57745868,0.102387853,0.010483272,23.31274223,8.757581711,76.69524384,0.0822258,0.043839175,0.001921873,0.10184145,0.094721772,0.008972215,0.210628927,0.424396574,0.364974678,0.160382658,0.235425144,0.250288129,0.025722599,0.055424999,0.062644154,3.330657244,8.953014374,80.15646362,12.50860596,11,-1,0.786635637,437.2367859,0
